Carrier,Alliance,Year,Quarter,MASSPORT FY
China Ocean Shipping Co.,CYKH,2013,Q3,2014
Evergreen America,Unaffiliated Global Carrier,2013,Q3,2014
Hanjin Shipping,CYKH,2013,Q3,2014
K-Line,CYKH,2013,Q3,2014
Mediterranean Shipping Corp.,MSC/CMA CGM,2013,Q3,2014
Yang Ming Line,CYKH,2013,Q3,2014
China Ocean Shipping Co.,CYKH,2013,Q4,2014
Evergreen America,Unaffiliated Global Carrier,2013,Q4,2014
Hanjin Shipping,CYKH,2013,Q4,2014
K-Line,CYKH,2013,Q4,2014
Mediterranean Shipping Corp.,MSC/CMA CGM,2013,Q4,2014
Yang Ming Line,CYKH,2013,Q4,2014
China Ocean Shipping Co.,CYKH,2014,Q1,2014
Evergreen America,Unaffiliated Global Carrier,2014,Q1,2014
Hanjin Shipping,CYKH,2014,Q1,2014
K-Line,CYKH,2014,Q1,2014
Mediterranean Shipping Corp.,MSC/CMA CGM,2014,Q1,2014
Yang Ming Line,CYKH,2014,Q1,2014
China Ocean Shipping Co.,CYKH,2014,Q2,2014
Evergreen America,Unaffiliated Global Carrier,2014,Q2,2014
Hanjin Shipping,CYKH,2014,Q2,2014
K-Line,CYKH,2014,Q2,2014
Mediterranean Shipping Corp.,MSC/CMA CGM,2014,Q2,2014
Yang Ming Line,CYKH,2014,Q2,2014
China Ocean Shipping Co.,CYKH,2014,Q3,2015
Evergreen America,Unaffiliated Global Carrier,2014,Q3,2015
Hanjin Shipping,CYKH,2014,Q3,2015
Hapag Lloyd,G6,2014,Q3,2015
K-Line,CYKH,2014,Q3,2015
Maersk,Unaffiliated Global Carrier,2014,Q3,2015
Mediterranean Shipping Corp.,MSC/CMA CGM,2014,Q3,2015
Yang Ming Line,CYKH,2014,Q3,2015
China Ocean Shipping Co.,CYKH,2014,Q4,2015
Evergreen America,Unaffiliated Global Carrier,2014,Q4,2015
Hanjin Shipping,CYKH,2014,Q4,2015
Hapag Lloyd,G6,2014,Q4,2015
K-Line,CYKH,2014,Q4,2015
Maersk,Unaffiliated Global Carrier,2014,Q4,2015
Mediterranean Shipping Corp.,MSC/CMA CGM,2014,Q4,2015
Yang Ming Line,CYKH,2014,Q4,2015
China Ocean Shipping Co.,CYKH,2015,Q1,2015
Evergreen America,Unaffiliated Global Carrier,2015,Q1,2015
Hanjin Shipping,CYKH,2015,Q1,2015
Hapag Lloyd,G6,2015,Q1,2015
K-Line,CYKH,2015,Q1,2015
Maersk,Unaffiliated Global Carrier,2015,Q1,2015
Mediterranean Shipping Corp.,MSC/CMA CGM,2015,Q1,2015
Yang Ming Line,CYKH,2015,Q1,2015
China Ocean Shipping Co.,CYKHE,2015,Q2,2015
Evergreen America,CYKHE,2015,Q2,2015
Hanjin Shipping,CYKHE,2015,Q2,2015
Hapag Lloyd,G6,2015,Q2,2015
K-Line,CYKHE,2015,Q2,2015
Maersk,2M,2015,Q2,2015
Mediterranean Shipping Corp.,2M,2015,Q2,2015
Yang Ming Line,CYKHE,2015,Q2,2015
China Ocean Shipping Co.,CYKHE,2015,Q3,2016
Evergreen America,CYKHE,2015,Q3,2016
Hanjin Shipping,CYKHE,2015,Q3,2016
Hapag Lloyd,G6,2015,Q3,2016
K-Line,CYKHE,2015,Q3,2016
Maersk,2M,2015,Q3,2016
Mediterranean Shipping Corp.,2M,2015,Q3,2016
Safmarine,2M,2015,Q3,2016
Yang Ming Line,CYKHE,2015,Q3,2016
China Ocean Shipping Co.,CYKHE,2015,Q4,2016
Evergreen America,CYKHE,2015,Q4,2016
Hanjin Shipping,CYKHE,2015,Q4,2016
Hapag Lloyd,G6,2015,Q4,2016
K-Line,CYKHE,2015,Q4,2016
Maersk,2M,2015,Q4,2016
Mediterranean Shipping Corp.,2M,2015,Q4,2016
Safmarine,2M,2015,Q4,2016
Yang Ming Line,CYKHE,2015,Q4,2016
China Ocean Shipping Co.,CYKHE,2016,Q1,2016
Evergreen America,CYKHE,2016,Q1,2016
Hanjin Shipping,CYKHE,2016,Q1,2016
Hapag Lloyd,G6,2016,Q1,2016
K-Line,CYKHE,2016,Q1,2016
Maersk,2M,2016,Q1,2016
Mediterranean Shipping Corp.,2M,2016,Q1,2016
Safmarine,2M,2016,Q1,2016
Yang Ming Line,CYKHE,2016,Q1,2016
China Ocean Shipping Co.,CYKHE,2016,Q2,2016
Evergreen America,CYKHE,2016,Q2,2016
